경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,횡단중,횡단중,횡단중,차도통행중,차도통행중,차도통행중,길가장자리구역통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,보도통행중,기타,기타,기타,정면충돌,정면충돌,정면충돌,측면충돌,측면충돌,측면충돌,추돌,추돌,추돌,기타,기타,기타,후진중충돌,후진중충돌,후진중충돌,공작물충돌,공작물충돌,공작물충돌,주/정차차량 충돌,주/정차차량 충돌,주/정차차량 충돌,도로이탈,도로이탈,도로이탈,기타,기타,기타,전도,전도,전도,전복,전복,전복,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
서울지방경찰청,서울중부,31,0,33,9,1,9,6,0,6,9,0,10,63,0,69,12,0,17,149,0,214,62,0,98,159,0,205,10,0,11,2,0,2,-,-,-,-,-,-,17,0,17,-,-,-,-,-,-,-,-,-
서울지방경찰청,서울남대문,34,0,36,10,0,10,2,0,2,14,0,14,46,1,46,7,0,12,177,0,235,48,0,71,51,0,64,2,0,2,1,0,1,-,-,-,-,-,-,8,0,9,2,0,2,-,-,-,-,-,-
서울지방경찰청,서울종로,43,0,45,24,0,24,5,0,6,20,0,22,43,0,45,10,0,24,204,0,308,81,0,149,60,0,78,10,0,11,6,1,8,-,-,-,-,-,-,14,0,14,3,0,3,-,-,-,-,-,-
서울지방경찰청,서울혜화,31,1,34,12,0,12,19,0,20,12,0,14,57,0,65,20,0,33,135,1,176,44,0,67,70,0,103,8,0,14,6,1,15,-,-,-,-,-,-,20,0,20,6,0,6,-,-,-,-,-,-
서울지방경찰청,서울서대문,95,1,98,33,0,34,11,0,11,20,1,19,93,1,95,25,0,40,319,1,480,131,1,220,151,0,190,14,0,17,10,0,10,-,-,-,-,-,-,43,0,45,6,0,7,1,0,1,-,-,-
서울지방경찰청,서울서부,53,1,54,28,1,27,1,0,1,8,0,8,40,0,44,23,1,29,168,0,245,49,0,108,47,1,66,15,0,16,1,0,1,-,-,-,-,-,-,12,1,11,2,0,2,1,1,0,-,-,-
